F:\data\IMG\center_2019_07_02_12_52_47_198.jpg,F:\data\IMG\left_2019_07_02_12_52_47_198.jpg,F:\data\IMG\right_2019_07_02_12_52_47_198.jpg,0,0,0,4.084174E-06
F:\data\IMG\center_2019_07_02_12_52_47_262.jpg,F:\data\IMG\left_2019_07_02_12_52_47_262.jpg,F:\data\IMG\right_2019_07_02_12_52_47_262.jpg,0,0,0,4.396633E-06
F:\data\IMG\center_2019_07_02_12_52_47_330.jpg,F:\data\IMG\left_2019_07_02_12_52_47_330.jpg,F:\data\IMG\right_2019_07_02_12_52_47_330.jpg,0,0,0,2.184963E-05
F:\data\IMG\center_2019_07_02_12_52_47_401.jpg,F:\data\IMG\left_2019_07_02_12_52_47_401.jpg,F:\data\IMG\right_2019_07_02_12_52_47_401.jpg,0,0,0,2.095875E-05
F:\data\IMG\center_2019_07_02_12_52_47_475.jpg,F:\data\IMG\left_2019_07_02_12_52_47_475.jpg,F:\data\IMG\right_2019_07_02_12_52_47_475.jpg,0,0,0,6.819908E-06
F:\data\IMG\center_2019_07_02_12_52_47_543.jpg,F:\data\IMG\left_2019_07_02_12_52_47_543.jpg,F:\data\IMG\right_2019_07_02_12_52_47_543.jpg,0,0,0,1.118386E-05
F:\data\IMG\center_2019_07_02_12_52_47_612.jpg,F:\data\IMG\left_2019_07_02_12_52_47_612.jpg,F:\data\IMG\right_2019_07_02_12_52_47_612.jpg,0,0,0,1.024445E-05
F:\data\IMG\center_2019_07_02_12_52_47_679.jpg,F:\data\IMG\left_2019_07_02_12_52_47_679.jpg,F:\data\IMG\right_2019_07_02_12_52_47_679.jpg,0,0,0,1.935858E-05
F:\data\IMG\center_2019_07_02_12_52_47_749.jpg,F:\data\IMG\left_2019_07_02_12_52_47_749.jpg,F:\data\IMG\right_2019_07_02_12_52_47_749.jpg,0,0,0,2.401994E-05
F:\data\IMG\center_2019_07_02_12_52_47_819.jpg,F:\data\IMG\left_2019_07_02_12_52_47_819.jpg,F:\data\IMG\right_2019_07_02_12_52_47_819.jpg,0,0,0,1.201482E-05
